id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1480690889202745345,1480690889202745345,2022-01-11 05:29:52 India Standard Time,2022-01-11,05:29:52,+0530,373634323,miamiglittergrl,Lauren Lococo,,I am genuinely saddened when cfb ends. One of the few things that brings  me 100% joy for months then boom! It’s gone,en,[],[],[],1,1,14,[],[],https://twitter.com/MiamiGlitterGrl/status/1480690889202745345,False,,0,,,,,,,,[],,,,
1480690888095457283,1480690888095457283,2022-01-11 05:29:52 India Standard Time,2022-01-11,05:29:52,+0530,1254640523840757760,roseannetune,May,,I will never forget the joy I felt listening to Rosé absolutely devour vocally on The Album for the first time,en,[],[],[],0,0,0,[],[],https://twitter.com/roseannetune/status/1480690888095457283,False,,0,,,,,,,,[],,,,
1480690885775937536,1480570907689197568,2022-01-11 05:29:51 India Standard Time,2022-01-11,05:29:51,+0530,1116186634133749762,lynnsinclair15,Lynn ❤ 🌼,,@eaglepatty51 @theviewinreview Joy is the one person I enjoy she keeps it real,en,[],[],[],0,0,0,[],[],https://twitter.com/LynnSinclair15/status/1480690885775937536,False,,0,,,,,,,,"[{'screen_name': 'eaglepatty51', 'name': 'Patty', 'id': '3253106058'}, {'screen_name': 'theviewinreview', 'name': 'The View in Review Podcast', 'id': '1436325352440279049'}]",,,,
1480690881699012610,1480688784467382273,2022-01-11 05:29:50 India Standard Time,2022-01-11,05:29:50,+0530,1391292298269319170,out_wire,OutOnAWire,,@LilithWon_FDS What's really disturbing is how they find joy when women who want to have children struggle with miscarriage and fertility problems.,en,[],[],[],0,1,9,[],[],https://twitter.com/out_wire/status/1480690881699012610,False,,0,,,,,,,,"[{'screen_name': 'LilithWon_FDS', 'name': 'Lilith 💋 ⚔ (Female Strategy Podcasts)', 'id': '1402471679163465732'}]",,,,
1480690861822279682,1480690861822279682,2022-01-11 05:29:46 India Standard Time,2022-01-11,05:29:46,+0530,4771399609,drewashleebells,Drew Wells,,I get too much joy out of these every year to not donate 📽️  David Ehrlich 2022 Video Countdown Fundraiser  https://t.co/HDpXFZpfub,en,[],['https://gofund.me/f4b4e70f'],[],0,0,0,[],[],https://twitter.com/drewashleebells/status/1480690861822279682,False,,0,,,,,,,,[],,,,
1480690841911902208,1480502655969419264,2022-01-11 05:29:41 India Standard Time,2022-01-11,05:29:41,+0530,1400700039895293955,loveribbit,ribbit! 🌸 EV DAY!!! 🥳,,@JoY_vful @iHeartEyesGnf I think you're more of a loser here,en,[],[],[],1,0,0,[],[],https://twitter.com/loveribbit/status/1480690841911902208,False,,0,,,,,,,,"[{'screen_name': 'JoY_vful', 'name': 'Just Joy', 'id': '1063370159719702528'}, {'screen_name': 'iHeartEyesGnf', 'name': 'George', 'id': '1435155280942170114'}]",,,,
1480690767152795652,1480690359969759236,2022-01-11 05:29:23 India Standard Time,2022-01-11,05:29:23,+0530,18180743,sarahecozart,Sarah Cozart,,"Please do pray, though. His pneumonia has gotten worse on the past few x-rays, though today he is definitely better than the past few days as far as clarity and strength.  I can’t get past his peace and joy. What a gift he is.  (Keeping the video private for just our family.)",en,[],[],[],0,0,3,[],[],https://twitter.com/SarahECozart/status/1480690767152795652,False,,0,,,,,,,,[],,,,
1480690745858457603,1480690745858457603,2022-01-11 05:29:18 India Standard Time,2022-01-11,05:29:18,+0530,634329163,agnesnofficial,off bc school,,Friendship improves happiness and abates misery by doubling of our joy and dividing our griev,en,[],[],[],0,0,0,[],[],https://twitter.com/AgnesNOfficial/status/1480690745858457603,False,,0,,,,,,,,[],,,,
1480690741378789378,1480671704594661379,2022-01-11 05:29:17 India Standard Time,2022-01-11,05:29:17,+0530,17004629,johnvmoore,John V. Moore,,@eclecticbrotha @PragObots What’s the over/under on Latosha bemoaning her social media critics and Joy providing an Amen Choir?,en,[],[],[],2,4,11,[],[],https://twitter.com/johnvmoore/status/1480690741378789378,False,,0,,,,,,,,"[{'screen_name': 'eclecticbrotha', 'name': 'Ragnarok Lobster', 'id': '300642262'}, {'screen_name': 'PragObots', 'name': 'PragmaticObotsUnite', 'id': '359690061'}]",,,,
1480690712899375107,1480683574428897284,2022-01-11 05:29:10 India Standard Time,2022-01-11,05:29:10,+0530,733296248,erinwehrenberg,Erin,,"As someone with 25, 20, 15, 10, 5 year deep-ass friendships with women, this is soooo true for me. The love, care, nurturing, support, acceptance, and joy I have felt in my sisterhoods has taught me the purest forms of love. I wouldn’t be alive without them. I am so grateful🙏🏼",en,[],[],[],0,0,0,[],[],https://twitter.com/ErinWehrenberg/status/1480690712899375107,False,,0,,,,,,,,[],,,,
1480690687720972291,1480677294649737216,2022-01-11 05:29:04 India Standard Time,2022-01-11,05:29:04,+0530,21075078,1ren,1ren,,@ddwchen But does it spark joy when you look at it? ;) Guess I'll have to start archiving them in a document instead w homepage/twitter &amp; join url🤔 and just check it from time to time.,en,[],[],[],0,0,0,[],[],https://twitter.com/1ren/status/1480690687720972291,False,,0,,,,,,,,"[{'screen_name': 'ddwchen', 'name': 'tree girl', 'id': '25874921'}]",,,,
1480690685439361036,1480690685439361036,2022-01-11 05:29:03 India Standard Time,2022-01-11,05:29:03,+0530,3315302966,timdrakebot,Tim Drake,,Damian Wayne. My stepbrother. Joy.,en,[],[],[],0,0,0,[],[],https://twitter.com/timdrakebot/status/1480690685439361036,False,,0,,,,,,,,[],,,,
1480690684445302787,1480685759988441088,2022-01-11 05:29:03 India Standard Time,2022-01-11,05:29:03,+0530,214071351,michu_chef,Michelle Marie Verònique 🎧📚,,@BouquetofFun @TheRealJoeArden OMG!!!!! What a joy!!!!! I would literally look like this 😂  https://t.co/ovpJmaDzvp,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FIx4UuZWYAAXvcE.jpg'],1,0,2,[],[],https://twitter.com/Michu_chef/status/1480690684445302787,False,,1,https://pbs.twimg.com/tweet_video_thumb/FIx4UuZWYAAXvcE.jpg,,,,,,,"[{'screen_name': 'BouquetofFun', 'name': 'Marla Miller', 'id': '26308172'}, {'screen_name': 'TheRealJoeArden', 'name': 'Joe Arden', 'id': '959179474607591424'}]",,,,
1480690674827673601,1480675179101667334,2022-01-11 05:29:01 India Standard Time,2022-01-11,05:29:01,+0530,856604045850664961,shae_ashbury,Shae Ashbury NYC // Chicago Nov. 14-18,,@MsLeanaLane They spark so much joy,en,[],[],[],0,0,1,[],[],https://twitter.com/shae_ashbury/status/1480690674827673601,False,,0,,,,,,,,"[{'screen_name': 'MsLeanaLane', 'name': 'Autumnal Leana Lane 🍂🍁', 'id': '4064997676'}]",,,,
1480690662093860875,1480690662093860875,2022-01-11 05:28:58 India Standard Time,2022-01-11,05:28:58,+0530,253931126,letmewriteit4u,Debra Ann Matthews,,Celebrate Black Joy with the True Story of Black Activist Opal Lee and Her Vision of Juneteenth as a Holiday -  https://t.co/b0jwk4Mnu1,en,[],['https://www.blackenterprise.com/celebrate-black-joy-with-the-true-story-of-black-activist-opal-lee-and-her-vision-of-juneteenth-as-a-holiday/'],[],0,0,0,[],[],https://twitter.com/Letmewriteit4u/status/1480690662093860875,False,,0,,,,,,,,[],,,,
1480690643567579137,1480346023704866816,2022-01-11 05:28:53 India Standard Time,2022-01-11,05:28:53,+0530,1667901553,mempuhsophia,Mempuh Sophia,,"@matthewwinters6 Light coming in darkness,  joy coming in sadness",en,[],[],[],0,0,2,[],[],https://twitter.com/MempuhSophia/status/1480690643567579137,False,,0,,,,,,,,"[{'screen_name': 'matthewwinters6', 'name': 'Matthew Winters', 'id': '2649395630'}]",,,,
1480690628019163138,1480681154957266952,2022-01-11 05:28:50 India Standard Time,2022-01-11,05:28:50,+0530,1400700039895293955,loveribbit,ribbit! 🌸 EV DAY!!! 🥳,,@JoY_vful @caramelanna22 D: woah I was just saying hi to cara,en,[],[],[],0,0,0,[],[],https://twitter.com/loveribbit/status/1480690628019163138,False,,0,,,,,,,,"[{'screen_name': 'JoY_vful', 'name': 'Just Joy', 'id': '1063370159719702528'}, {'screen_name': 'caramelanna22', 'name': 'Caramel', 'id': '1158148135836893190'}]",,,,
1480690619559383044,1480689426405675012,2022-01-11 05:28:48 India Standard Time,2022-01-11,05:28:48,+0530,943530227350765568,tonyc67806241,Tony says we need each other No bots allowed,,@whatsername1114 Belated one from Tony C happy and joy joy D,en,[],[],[],0,0,1,[],[],https://twitter.com/Tonyc67806241/status/1480690619559383044,False,,0,,,,,,,,"[{'screen_name': 'whatsername1114', 'name': '🖤Andi❤️', 'id': '202209663'}]",,,,
1480690601427275777,1480687148160454674,2022-01-11 05:28:43 India Standard Time,2022-01-11,05:28:43,+0530,1046621573673885696,yaaaasqueeeeen,a.,,"@audible_com Oooo I love this. I started listening to @audible_com on my commutes on the metro in Moscow, Russia and it really sparked my joy of reading. I love to wander around any city listening to a book. Lately, I've been daydreaming about walking across Lichtenstein!",en,"[{'screen_name': 'audible_com', 'name': 'audible', 'id': '21001534'}]",[],[],1,0,0,[],[],https://twitter.com/yaaaasqueeeeen/status/1480690601427275777,False,,0,,,,,,,,"[{'screen_name': 'audible_com', 'name': 'Audible', 'id': '21001534'}]",,,,
1480690596838879233,1480687861615714308,2022-01-11 05:28:42 India Standard Time,2022-01-11,05:28:42,+0530,1400197514515595273,odarodletnilc,𝖘𝖙𝖔𝖓𝖊 𝖌𝖗𝖊𝖌𝖌 𝖋𝖔̈𝖗𝖊𝖛𝖊𝖗,,"“The Big Sky” full of the giddy effervescence of childhood. And it’s got a couple of husky-voiced “hup, hup”s in it—just after the pause for the jet—that radiate absolute joy.",en,[],[],[],1,0,1,[],[],https://twitter.com/odarodletnilc/status/1480690596838879233,False,,0,,,,,,,,[],,,,
